2020-10-09/16:23:29		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:30		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:23:31		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:23:32		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:23:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:23:35		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:23:37		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:23:38		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-09/16:50:34		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-09/16:50:35		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-09/16:50:37		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-09/16:50:38		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-09/16:50:39		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-09/16:50:42		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-09/16:50:45		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-09/16:50:46		 wafer_29012020_050617.csv: File Transformed successfully!!
2020-10-15/11:11:38		 wafer_13012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_20022020_090716.csv: File Transformed successfully!!
2020-10-15/11:11:39		 wafer_23012020_041211.csv: File Transformed successfully!!
2020-10-15/11:11:41		 wafer_28042020_031911.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2020-10-15/11:11:42		 wafer_21012020_080913.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_27012020_080911.csv: File Transformed successfully!!
2020-10-15/11:11:43		 wafer_28012020_090817.csv: File Transformed successfully!!
2020-10-15/11:11:44		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-09-20/11:38:44		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-09-20/11:38:45		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-09-20/11:38:45		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-09-20/11:38:46		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-09-20/11:38:47		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-09-20/11:38:47		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-09-20/11:38:49		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-09-20/11:38:50		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-09-20/11:38:50		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-09-20/15:56:31		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-09-20/15:56:32		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-09-20/15:56:32		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-09-20/15:56:33		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-09-20/15:56:34		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-09-20/15:56:34		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-09-20/15:56:35		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-09-20/15:56:36		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-09-20/15:56:37		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-09-20/16:33:03		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-09-20/16:33:04		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-09-20/16:33:04		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-09-20/16:33:05		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-09-20/16:33:06		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-09-20/16:33:06		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-09-20/16:33:07		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-09-20/16:33:08		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-09-20/16:33:09		 wafer_29012020_050617.csv: File Transformed successfully!!
2022-09-20/16:46:42		 wafer_13012020_090817.csv: File Transformed successfully!!
2022-09-20/16:46:42		 wafer_16012020_051629.csv: File Transformed successfully!!
2022-09-20/16:46:43		 wafer_20022020_090716.csv: File Transformed successfully!!
2022-09-20/16:46:44		 wafer_21012020_080913.csv: File Transformed successfully!!
2022-09-20/16:46:45		 wafer_23012020_041211.csv: File Transformed successfully!!
2022-09-20/16:46:45		 wafer_27012020_080911.csv: File Transformed successfully!!
2022-09-20/16:46:46		 wafer_28012020_090817.csv: File Transformed successfully!!
2022-09-20/16:46:48		 wafer_28042020_031911.csv: File Transformed successfully!!
2022-09-20/16:46:48		 wafer_29012020_050617.csv: File Transformed successfully!!
